Floor Schedule,,,,,,
Family and Type,Level,Elevation at Bottom,Elevation at Top,Default Thickness,Area,Volume
,,,,,,
Floor: Generic 12CM,1FL,43,55,12,88 m²,10.51 m³
Floor: Generic 12CM,1FL,38,50,12,21 m²,2.53 m³
Floor: Generic 12CM,1FL,34,46,12,7 m²,0.78 m³
Floor: Generic 12CM,1FL,24,36,12,50 m²,5.94 m³
Floor: Generic 12CM,2FL,363,375,12,96 m²,11.53 m³
Floor: Generic 12CM,2FL,353,365,12,4 m²,0.42 m³
Floor: Generic 12CM,2FL,353,365,12,4 m²,0.42 m³
Floor: Generic 12CM,2FL,353,365,12,10 m²,1.22 m³
Floor: Generic 12CM,TOF,-52,-40,12,7 m²,0.86 m³
Floor: Generic 12CM,2FL,353,365,12,6 m²,0.77 m³
Floor: Generic 12CM,2FL,353,365,12,3 m²,0.31 m³
Floor: Generic 12CM,2FL,353,365,12,4 m²,0.49 m³
