Structural Column Schedule,,,,,,,,
Family and Type,Base Level,Top Level,Column Location Mark,Length,Volume,Mark
,,,,,,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,A-1,95,0.09 m³,C1
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,B-1,95,0.09 m³,C1
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,D-1,95,0.09 m³,C1
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,E-1,95,0.09 m³,C1
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,A-2,95,0.09 m³,C2
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,B-2,95,0.09 m³,C2
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,D-2,95,0.09 m³,C2
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,E-2,95,0.09 m³,C2
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,A-3,95,0.09 m³,C3
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,B-3,95,0.09 m³,C3
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,A-4.1,95,0.09 m³,C4
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),TOF,1FL,B-4.1,95,0.09 m³,C4
Concrete-Rectangular-Column: 25 X 50CM C6,TOF,1FL,C-4,95,0.07 m³,C5
Concrete-Rectangular-Column: 20 X 100CM C5,TOF,1FL,D-4,95,0.19 m³,C6
Concrete-Rectangular-Column: 20 X 100CM C5,TOF,1FL,D-3,95,0.19 m³,C6
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,A-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,B-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,D-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,E-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,A-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,B-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,D-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,E-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,A-3,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,B-3,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,A-4.1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),1FL,2FL,B-4.1,320,0.29 m³,
Concrete-Rectangular-Column: 25 X 50CM C6,1FL,2FL,C-4,320,0.40 m³,
Concrete-Rectangular-Column: 20 X 100CM C5,1FL,2FL,D-4,320,0.64 m³,
Concrete-Rectangular-Column: 20 X 100CM C5,1FL,2FL,D-3,320,0.64 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,A-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,B-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,D-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,E-1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,A-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,B-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,D-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,E-2,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,A-3,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,B-3,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,A-4.1,320,0.29 m³,
Concrete-Rectangular-Column: 30 X 30CM (C1-C4),2FL,RFL,B-4.1,320,0.29 m³,
Concrete-Rectangular-Column: 25 X 50CM C6,2FL,RFL,C-4,320,0.40 m³,
Concrete-Rectangular-Column: 20 X 100CM C5,2FL,RFL,D-4,320,0.64 m³,
Concrete-Rectangular-Column: 20 X 100CM C5,2FL,RFL,D-3,320,0.64 m³,
