Structural Foundation Schedule,,,,,,,
Family and Type,Elevation at Bottom,Elevation at Top,Foundation Thickness,Length,Area,Volume
,,,,,,
Footing-Rectangular: 135 x 135 cm (F1, F3),-70,-40,30,135,2 m²,0.55 m³
Footing-Rectangular: 135 x 135 cm (F1, F3),-70,-40,30,135,2 m²,0.55 m³
Footing-Rectangular: 135 x 135 cm (F1, F3),-70,-40,30,135,2 m²,0.55 m³
Footing-Rectangular: 135 x 135 cm (F1, F3),-70,-40,30,135,2 m²,0.55 m³
Footing-Rectangular: 135 x 135 cm (F1, F3),-70,-40,30,135,2 m²,0.55 m³
Footing-Rectangular: 135 x 135 cm (F1, F3),-70,-40,30,135,2 m²,0.55 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
Footing-Rectangular: 180 x 180 cm (F2, F4),-70,-40,30,180,3 m²,0.97 m³
